DRG Id,Provider Id,Total Discharges,Average Total Payments,Average Medicare Payments,Average Medicare Payments
001,10033,13,251876.307692308,244457.923076923,244457.923076923
002,340030,12,183829.5,173307.5,173307.5
003,10033,92,145120.956521739,135713.076086957,135713.076086957
004,10033,54,94398.0925925926,88024.2592592593,88024.2592592593
005,10033,16,68752.25,60141.375,60141.375
006,110010,20,48164.95,31044.7,31044.7
007,50262,15,107079.6,98563.6,98563.6
008,260032,12,37266.75,36235.5,36235.5
011,10033,15,39945.2,38319.4,38319.4
012,10033,47,23460.1276595745,20293.0212765957,20293.0212765957
013,10033,13,15261.0,14111.7692307692,14111.7692307692
014,10033,13,101789.384615385,99401.8461538461,99401.8461538461
016,10033,25,48603.08,36972.32,36972.32
017,10033,11,40938.0,24230.5454545455,24230.5454545455
020,10033,14,78199.0,55630.1428571429,55630.1428571429
023,10033,44,34309.6363636364,32662.3409090909,32662.3409090909
024,100007,24,31002.5833333333,17280.8333333333,17280.8333333333
025,10033,93,33621.935483871,30493.1397849462,30493.1397849462
026,10033,32,20430.34375,17642.21875,17642.21875
027,10033,91,16459.8681318681,12863.7472527473,12863.7472527473
028,50625,12,52482.9166666667,49092.75,49092.75
029,10033,13,22469.8461538462,17891.4615384615,17891.4615384615
030,50262,16,23719.75,20020.5,20020.5
031,10033,11,26394.1818181818,22199.5454545455,22199.5454545455
032,10033,11,13888.0,12741.4545454545,12741.4545454545
033,10033,11,11212.5454545455,10578.0,10578.0
034,330005,13,37494.3846153846,32102.0769230769,32102.0769230769
035,240010,19,17991.2105263158,15630.4736842105,15630.4736842105
036,50441,13,22376.4615384615,18145.0,18145.0
037,10033,11,28620.3636363636,14363.7272727273,14363.7272727273
038,30103,11,11982.2727272727,9869.63636363636,9869.63636363636
039,10033,31,8908.12903225806,6810.45161290323,6810.45161290323
040,50625,14,50128.9285714286,45517.9285714286,45517.9285714286
041,50625,13,22006.6923076923,19093.3846153846,19093.3846153846
042,100007,16,15625.5625,8428.3125,8428.3125
054,10033,30,10790.3666666667,9471.46666666667,9471.46666666667
055,10033,16,8161.375,7267.375,7267.375
056,10033,15,13141.4666666667,12325.2666666667,12325.2666666667
057,10033,36,7835.11111111111,6710.55555555555,6710.55555555555
059,110083,14,6282.35714285714,5078.42857142857,5078.42857142857
060,100007,18,5625.05555555555,4299.72222222222,4299.72222222222
061,50262,19,37869.8947368421,33080.8421052632,33080.8421052632
062,30103,13,15767.6923076923,10472.6923076923,10472.6923076923
063,80001,12,13528.9166666667,8818.75,8818.75
064,10033,111,14454.6036036036,12792.2612612613,12792.2612612613
065,10033,82,8876.43902439024,6947.67073170732,6947.67073170732
066,10033,41,7729.39024390244,4924.43902439024,4924.43902439024
068,100007,19,5948.89473684211,4760.68421052631,4760.68421052631
069,10033,22,6180.36363636364,4848.90909090909,4848.90909090909
070,10033,61,12577.9344262295,11745.5409836066,11745.5409836066
071,10033,49,10541.0408163265,6509.97959183673,6509.97959183673
072,70025,21,7278.42857142857,5801.57142857143,5801.57142857143
073,10033,20,10016.1,8488.25,8488.25
074,10033,42,7708.59523809524,6356.47619047619,6356.47619047619
077,340113,13,14049.2307692308,10426.0,10426.0
078,450388,12,6969.16666666667,5598.66666666667,5598.66666666667
081,100007,11,5449.27272727273,4529.27272727273,4529.27272727273
082,10033,18,13468.2222222222,12011.1111111111,12011.1111111111
083,140208,11,10401.0,8971.0,8971.0
084,150084,12,6842.33333333333,5538.33333333333,5538.33333333333
085,10033,29,14522.8965517241,13527.3103448276,13527.3103448276
086,10033,27,9008.85185185185,6639.11111111111,6639.11111111111
087,10033,15,6409.53333333333,5433.0,5433.0
089,50025,20,12000.9,9722.75,9722.75
090,50025,25,9408.2,7453.8,7453.8
091,10033,16,12917.9375,8396.125,8396.125
092,10033,18,7385.77777777778,6253.61111111111,6253.61111111111
093,70022,21,8033.14285714286,6645.47619047619,6645.47619047619
094,260032,11,31278.1818181818,30703.6363636364,30703.6363636364
100,10033,46,13257.6304347826,10986.4130434783,10986.4130434783
101,10033,147,7965.61904761905,4741.01360544218,4741.01360544218
102,390174,19,12363.0526315789,8161.52631578947,8161.52631578947
103,30103,11,5858.54545454545,3255.09090909091,3255.09090909091
113,390174,15,17179.6666666667,14552.4666666667,14552.4666666667
114,340030,11,11133.2727272727,7906.72727272727,7906.72727272727
115,360180,17,10062.8235294118,7419.41176470588,7419.41176470588
116,220075,13,14573.2307692308,13264.0,13264.0
117,220075,14,8213.42857142857,6930.85714285714,6930.85714285714
123,70022,12,8367.75,6873.83333333333,6873.83333333333
125,90011,13,7083.84615384615,4945.38461538462,4945.38461538462
129,10033,20,15152.95,13676.2,13676.2
130,10033,20,11237.55,7486.65,7486.65
131,10033,11,16109.0909090909,14783.2727272727,14783.2727272727
133,10033,34,12544.2647058824,10746.0882352941,10746.0882352941
134,10033,39,7662.30769230769,6367.48717948718,6367.48717948718
138,390111,12,10081.5833333333,7745.08333333333,7745.08333333333
139,80001,11,7551.54545454545,6066.54545454545,6066.54545454545
149,50625,30,6448.06666666667,4605.83333333333,4605.83333333333
